,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
99,1,0,0,2018-09-29,13,6149,7,3,1,11.4,2.4,-0.87629371,0.517833085,-0.450324259,1.522525759,1.550706175,0.76795539,1,1,6,2,16.07711688,7,5.333333333,2018,9,0.237302139,0,9
100,0,1,0,2018-09-29,13,6149,4,4,1,19.1,3.8,-1.385726,0.457144919,-0.450324259,-0.543405856,1.955482541,-0.622039787,1,7,3,8,15.63058289,3,2.333333333,2018,9,0.174250871,0,8
101,0,0,1,2018-09-29,13,6149,9,4,1,57.1,6,-0.87629371,0.43691553,1.851341533,-1.362185287,-0.720284959,0.782101678,1,9,7,12,15.3246397,1,2.666666667,2018,9,0.085108928,0,7
102,1,0,0,2018-09-29,13,6149,11,5,1,29,3.7,-0.112145276,0.517833085,0.700508637,2.046182853,1.853462375,0.76795539,0,11,11,10,16.19814895,9,6.333333333,2018,9,0.165875107,0,6
103,0,1,0,2018-09-29,13,6149,10,3,1,13.4,3.1,1.670867738,0.396456752,-0.162616035,1.793262558,1.45087405,2.5322835,1,6,4,1,16.35852889,11,3.666666667,2018,9,0.190647915,0,5
104,1,0,0,2018-09-29,13,6149,2,6,1,63.4,7.2,-1.385726,0.881962086,0.412800413,1.15147309,0.718925454,2.165864741,0,12,1,6,16.10446724,8,6.666666667,2018,9,0.118257076,0,4
105,0,0,1,2018-09-29,13,6149,8,3,1,17.5,3.6,0.906719304,-0.271113083,1.419779197,2.406140135,1.252813528,-1.130811745,1,8,6,3,15.88796147,6,6,2018,9,0.157690465,1,3
106,0,0,1,2018-09-29,13,6149,6,4,1,6.8,1.6,-0.87629371,-0.311571861,0.556654525,2.148322407,1.701468917,1.403899463,0,8,10,11,16.28336674,10,1.666666667,2018,9,0.396922499,1,2
107,0,0,1,2018-09-29,13,6149,1,3,1,1.4,1.1,-0.621577566,0.396456752,1.419779197,2.406140135,2.006701681,1.857346555,1,3,1,8,16.43151962,12,1.666666667,2018,9,0.639634073,1,1
108,0,1,0,2018-09-29,12,5331,11,4,1,38.3,5.8,0.397287014,0.962879642,-2.464281827,-1.918257296,0.897458067,-0.809402356,0,8,6,10,15.24731307,2,4.666666667,2018,9,0.14501968,0,11
